name,ID,frequency,length,first_letter,last_letter,most_frequent_position
florida,1,14585,7,6,1,0
beaches,2,5405,7,2,19,0
beach,3,8677,5,2,8,0
hotels,4,457,6,8,19,0
best,5,649,4,2,20,0
vacation,6,229,8,22,14,0
beachfront,7,563,10,2,20,0
suites,8,3,6,19,19,0
destin,9,824,6,4,14,0
rentals,10,472,7,18,19,0
pensacola,11,68,9,16,1,0
private,12,9,7,16,5,0
map,13,1232,3,13,16,0
west,14,317,4,23,20,0
crabs,15,7,5,3,19,0
news,16,18,4,14,19,0
north,17,82,5,14,8,0
gulf,18,339,4,7,6,0
side,19,49,4,19,5,0
mexico,20,20,6,13,15,0
condo,21,73,5,3,15,0
live,22,1274,4,12,5,0
cams,23,1410,4,3,19,0
keys,24,31,4,11,19,0
webcams,25,366,7,23,19,0
hollywood,26,142,9,8,4,0
pictures,27,70,8,16,19,0
fort,28,114,4,6,20,0
myers,29,108,5,13,19,0
cam,30,780,3,3,13,0
far,31,16,3,6,18,0
weston,32,7,6,23,14,0
clubs,33,7,5,3,19,0
towel,34,10,5,20,12,0
seaside,35,64,7,19,5,0
condos,36,107,6,3,19,0
top,37,77,3,20,16,0
list,38,80,4,12,20,0
resorts,39,334,7,18,19,0
jupiter,40,35,7,10,18,0
south,41,239,5,19,8,0
people,42,2,6,16,5,0
melbourne,43,27,9,13,5,0
weddings,44,128,8,23,19,0
resort,45,83,6,18,20,0
anna,46,20,4,1,1,0
maria,47,20,5,13,1,0
wedding,48,120,7,23,7,0
clothes,49,5,7,3,19,0
panama,50,71,6,16,1,0
city,51,47,4,3,25,0
towns,52,163,5,20,19,0
party,53,10,5,16,25,0
coast,54,377,5,3,20,0
visit,55,29,5,22,20,0
tampa,56,169,5,20,1,0
bay,57,28,3,2,25,0
cottages,58,55,8,3,19,0
sale,59,279,4,19,5,0
st,60,171,2,19,20,0
petersburg,61,67,10,16,7,0
access,62,3,6,1,19,0
all,63,40,3,1,12,0
key,64,234,3,11,25,0
webcam,65,265,6,23,13,0
hilton,66,16,6,8,14,0
state,67,26,5,19,5,0
park,68,15,4,16,11,0
cities,69,27,6,3,19,0
houses,70,106,6,8,19,0
palm,71,71,4,16,13,0
pete,72,35,4,16,5,0
campgrounds,73,46,11,3,19,0
dresses,74,5,7,4,19,0
girl,75,162,4,7,12,0
amelia,76,6,6,1,1,0
island,77,86,6,9,4,0
tallahassee,78,21,11,20,5,0
destinations,79,12,12,4,19,0
naples,80,248,6,14,19,0
cameras,81,155,7,3,19,0
house,82,175,5,8,5,0
rental,83,103,6,18,12,0
flags,84,15,5,6,19,0
meanings,85,6,8,13,19,0
sunset,86,21,6,19,20,0
inclusive,87,10,9,9,5,0
treasure,88,44,8,20,5,0
atlantic,89,111,8,1,3,0
halfathon,90,1,9,8,14,0
siesta,91,40,6,19,1,0
sanibel,92,39,7,19,12,0
trips,93,16,5,20,19,0
northern,94,14,8,14,14,0
jacksonville,95,87,12,10,5,0
cape,96,38,4,3,5,0
coral,97,29,5,3,12,0
company,98,4,7,3,25,0
panacea,99,12,7,16,1,0
near,100,46,4,14,18,0
georgia,101,17,7,7,1,0
homes,102,247,5,8,19,0
rent,103,74,4,18,20,0
venice,104,225,6,22,5,0
timeshares,105,18,10,20,19,0
red,106,26,3,18,4,0
tide,107,26,4,20,5,0
information,108,8,11,9,14,0
photos,109,73,6,16,19,0
sharks,110,13,6,19,19,0
boca,111,15,4,2,1,0
raton,112,14,5,18,14,0
families,113,52,8,6,19,0
saint,114,20,5,19,20,0
southwestern,115,6,12,19,14,0
marco,116,19,5,13,15,0
clearwater,117,96,10,3,18,0
east,118,127,4,5,20,0
clear,119,7,5,3,18,0
water,120,27,5,23,18,0
camera,121,13,6,3,1,0
specials,122,4,8,19,19,0
beautiful,123,13,9,2,12,0
couples,124,15,7,3,19,0
san,125,14,3,19,14,0
blas,126,11,4,2,19,0
alabama,127,20,7,1,1,0
ten,128,18,3,20,14,0
arcadia,129,6,7,1,1,0
pepsi,130,6,5,16,9,0
cola,131,6,4,3,1,0
maps,132,85,4,13,19,0
miami,133,152,5,13,9,0
westin,134,15,6,23,14,0
turtle,135,2,6,20,5,0
emerald,136,5,7,5,4,0
club,137,20,4,3,2,0
airport,138,20,7,1,20,0
hudson,139,32,6,8,14,0
panhandle,140,75,9,16,5,0
southern,141,19,8,19,14,0
beverly,142,9,7,2,25,0
hills,143,9,5,8,19,0
feed,144,12,4,6,4,0
koa,145,12,3,11,1,0
sarasota,146,73,8,19,1,0
cocoa,147,25,5,3,1,0
eastern,148,11,7,5,14,0
nicest,149,10,6,14,20,0
videos,150,7,6,22,19,0
property,151,21,8,16,25,0
properties,152,24,10,16,19,0
businesses,153,10,10,2,19,0
lauderdale,154,12,10,12,5,0
hiltons,155,10,7,8,19,0
shells,156,32,6,19,19,0
northwest,157,49,9,14,20,0
titusville,158,11,10,20,5,0
cheapest,159,6,8,3,20,0
vacations,160,114,9,22,19,0
november,161,17,8,14,18,0
bradenton,162,17,9,2,14,0
detailed,163,5,8,4,4,0
video,164,31,5,22,15,0
locations,165,23,9,12,19,0
hyatt,166,22,5,8,20,0
volleyball,167,13,10,22,12,0
southwest,168,21,9,19,20,0
orlando,169,56,7,15,15,0
tours,170,1,5,20,19,0
cottage,171,28,7,3,5,0
airbnb,172,20,6,1,2,0
bar,173,14,3,2,18,0
central,174,46,7,3,12,0
islands,175,1,7,9,19,0
babes,176,29,5,2,19,0
pierce,177,9,6,16,5,0
camping,178,75,7,3,7,0
breeze,179,6,6,2,5,0
augustine,180,50,9,1,5,0
string,181,1,6,19,7,0
bikini,182,7,6,2,9,0
vrbo,183,73,4,22,15,0
university,184,6,10,21,25,0
most,185,2,4,13,20,0
relaxing,186,1,8,18,7,0
southeast,187,16,9,19,20,0
retire,188,5,6,18,5,0
western,189,29,7,23,14,0
daytona,190,39,7,4,1,0
cheap,191,62,5,3,16,0
getaways,192,9,8,7,19,0
cabin,193,10,5,3,14,0
navarre,194,21,7,14,5,0
owner,195,18,5,15,18,0
images,196,7,6,9,19,0
northeast,197,18,9,14,20,0
nw,198,8,2,14,23,0
girls,199,40,5,7,19,0
lucie,200,13,5,12,5,0
scene,201,10,5,19,5,0
wyndham,202,12,7,23,13,0
casey,203,14,5,3,25,0
largo,204,9,5,12,15,0
fl,205,30,2,6,12,0
hernando,206,12,8,8,15,0
honeymoon,207,2,9,8,14,0
venus,208,17,5,22,19,0
march,209,4,5,13,8,0
venues,210,13,6,22,19,0
shacks,211,6,6,19,19,0
sandestin,212,4,9,19,14,0
beachside,213,3,9,2,5,0
mims,214,4,4,13,19,0
bars,215,33,4,2,19,0
deals,216,63,5,4,19,0
home,217,42,4,8,5,0
land,218,6,4,12,4,0
pics,219,41,4,16,19,0
rv,220,56,2,18,22,0
parks,221,45,5,16,19,0
close,222,12,5,3,5,0
towels,223,12,6,20,19,0
islamorada,224,12,10,9,1,0
com,225,33,3,3,13,0
beachrentals,226,10,12,2,19,0
old,227,45,3,15,4,0
scenes,228,21,6,19,19,0
description,229,1,11,4,14,0
web,230,21,3,23,2,0
shark,231,15,5,19,11,0
teeth,232,11,5,20,8,0
shelling,233,8,8,19,7,0
port,234,34,4,16,20,0
plans,235,17,5,16,19,0
marriott,236,48,8,13,20,0
hotel,237,71,5,8,12,0
bungalows,238,12,9,2,19,0
adults,239,14,6,1,19,0
front,240,21,5,6,20,0
july,241,1,4,10,25,0
shore,242,7,5,19,5,0
birds,243,22,5,2,19,0
fun,244,14,3,6,14,0
places,245,10,6,16,19,0
restaurants,246,11,11,18,19,0
manatee,247,1,7,13,5,0
realty,248,18,6,18,25,0
county,249,16,6,3,25,0
destination,250,9,11,4,14,0
nn10,251,6,4,14,-48,0
watersound,252,1,10,23,4,0
joe,253,7,3,10,5,0
luxury,254,23,6,12,25,0
kids,255,8,4,11,19,0
sea,256,16,3,19,1,0
glass,257,6,5,7,19,0
pompano,258,21,7,16,15,0
pasco,259,10,5,16,15,0
view,260,2,4,22,23,0
santa,261,12,5,19,1,0
rosa,262,12,4,18,1,0
month,263,1,5,13,8,0
go,264,1,2,7,15,0
lakeland,265,4,8,12,4,0
little,266,8,6,12,5,0
alcohol,267,3,7,1,12,0
laws,268,4,4,12,19,0
edgewater,269,4,9,5,18,0
fishing,270,18,7,6,7,0
inns,271,1,4,9,19,0
stuart,272,21,6,19,20,0
radio,273,6,5,18,15,0
stations,274,6,8,19,19,0
delray,275,14,6,4,25,0
northeastern,276,1,12,14,14,0
areas,277,5,5,1,19,0
me,278,6,2,13,5,0
historic,279,5,8,8,3,0
wikipedia,280,1,9,23,1,0
family,281,11,6,6,25,0
swimming,282,4,8,19,7,0
package,283,7,7,16,5,0
paintings,284,12,9,16,19,0
ocala,285,4,5,15,1,0
weather,286,13,7,23,18,0
gables,287,9,6,7,19,0
quartz,288,1,6,17,26,0
sand,289,6,4,19,4,0
december,290,15,8,4,18,0
cool,291,5,4,3,12,0
martin,292,4,6,13,14,0
name,293,11,4,14,5,0
canaveral,294,1,9,3,12,0
attack,295,1,6,1,11,0
gainesville,296,1,11,7,5,0
atlanta,297,9,7,1,1,0
disney,298,3,6,4,25,0
insect,299,4,6,9,20,0
bites,300,6,5,2,19,0
famous,301,16,6,6,19,0
snakes,302,7,6,19,19,0
erosion,303,8,7,5,14,0
perdido,304,10,7,16,15,0
crab,305,1,4,3,2,0
ritz,306,12,4,18,26,0
hostels,307,1,7,8,19,0
apalachicola,308,13,12,1,1,0
packages,309,3,8,16,19,0
discount,310,1,8,4,20,0
ponce,311,1,5,16,5,0
inlet,312,1,5,9,20,0
youtube,313,6,7,25,5,0
ft,314,17,2,6,20,0
sandblast,315,3,9,19,20,0
watercolor,316,7,10,23,18,0
jensen,317,16,6,10,14,0
motels,318,7,6,13,19,0
playalinda,319,1,10,16,1,0
venue,320,4,5,22,5,0
madeira,321,12,7,13,1,0
closest,322,22,7,3,20,0
designs,323,8,7,4,19,0
september,324,6,9,19,18,0
real,325,22,4,18,12,0
estate,326,23,6,5,5,0
concerts,327,3,8,3,19,0
dunedin,328,12,7,4,14,0
conditions,329,11,10,3,19,0
guide,330,6,5,7,5,0
names,331,7,5,14,19,0
entertainment,332,1,13,5,20,0
sunrise,333,9,7,19,5,0
quaint,334,13,6,17,20,0
starfish,335,1,8,19,8,0
punta,336,21,5,16,1,0
gorda,337,21,5,7,1,0
october,338,12,7,15,18,0
facts,339,5,5,6,19,0
small,340,17,5,19,12,0
attacks,341,3,7,1,19,0
agustin,342,3,7,1,14,0
reviews,343,16,7,18,19,0
grande,344,2,6,7,5,0
springs,345,5,7,19,19,0
tavernier,346,1,9,20,18,0
singer,347,6,6,19,18,0
jellyfish,348,1,9,10,8,0
regulations,349,4,11,18,19,0
castle,350,1,6,3,5,0
walton,351,13,6,23,14,0
englewood,352,14,9,5,4,0
warnings,353,1,8,23,19,0
gold,354,10,4,7,4,0
adult,355,1,5,1,20,0
quality,356,9,7,17,25,0
town,357,4,4,20,14,0
closed,358,1,6,3,4,0
nearest,359,1,7,14,20,0
texas,360,2,5,20,19,0
sunny,361,1,5,19,25,0
isles,362,1,5,9,19,0
howard,363,5,6,8,4,0
lice,364,8,4,12,5,0
bug,365,2,3,2,7,0
report,366,15,6,18,20,0
yankeetown,367,1,10,25,14,0
pickens,368,1,7,16,19,0
orange,369,1,6,15,5,0
shopping,370,2,8,19,7,0
pollution,371,3,9,16,14,0
image,372,1,5,9,5,0
teresa,373,19,6,20,1,0
jetty,374,4,5,10,25,0
warning,375,9,7,23,7,0
lifeguards,376,4,10,12,19,0
cost,377,1,4,3,20,0
nightlife,378,6,9,14,5,0
golf,379,2,4,7,6,0
police,380,1,6,16,5,0
thongs,381,1,6,20,19,0
airports,382,1,8,1,19,0
safe,383,2,4,19,5,0
ihg,384,7,3,9,7,0
music,385,1,5,13,3,0
lantana,386,1,7,12,1,0
carlton,387,4,7,3,14,0
sites,388,1,5,19,19,0
great,389,7,5,7,20,0
found,390,1,5,6,4,0
women,391,6,5,23,14,0
bags,392,1,4,2,19,0
northwestern,393,3,12,14,14,0
affordable,394,1,10,1,5,0
style,395,2,5,19,5,0
popular,396,4,7,16,18,0
nudist,397,1,6,14,20,0
starwood,398,1,8,19,4,0
beachs,399,2,6,2,19,0
quiet,400,3,5,17,20,0
pine,401,4,4,16,5,0
timeshare,402,5,9,20,5,0
surf,403,1,4,19,6,0
wakulla,404,1,7,23,1,0
spring,405,5,6,19,7,0
break,406,5,5,2,11,0
decor,407,14,5,4,18,0
road,408,1,4,18,4,0
trip,409,10,4,20,16,0
dollars,410,1,7,4,19,0
things,411,1,6,20,19,0
do,412,2,2,4,15,0
tee,413,1,3,20,5,0
shirts,414,2,6,19,19,0
sw,415,12,2,19,23,0
surfing,416,3,7,19,7,0
miramar,417,4,7,13,18,0
watercolors,418,1,11,23,19,0
bungalow,419,2,8,2,23,0
rosemary,420,1,8,18,25,0
boardwalks,421,11,10,2,19,0
new,422,1,3,14,23,0
smyrna,423,1,6,19,1,0
weekend,424,3,7,23,4,0
magazines,425,1,9,13,19,0
ratings,426,5,7,18,19,0
photographers,427,6,13,16,19,0
piers,428,1,5,16,19,0
pass,429,2,4,16,19,0
flag,430,1,4,6,7,0
system,431,1,6,19,13,0
northport,432,1,9,14,20,0
status,433,1,6,19,19,0
ideas,434,4,5,9,19,0
ocean,435,1,5,15,14,0
www,436,6,3,23,23,0
shell,437,1,5,19,12,0
point,438,7,5,16,20,0
beachline,439,4,9,2,5,0
tolls,440,4,5,20,19,0
monthly,441,1,7,13,25,0
life,442,1,4,12,5,0
magazine,443,2,8,13,5,0
reports,444,1,7,18,19,0
colors,445,1,6,3,19,0
seagrove,446,7,8,19,5,0
indiana,447,5,7,9,1,0
rated,448,1,5,18,4,0
songs,449,4,5,19,19,0
laguna,450,1,6,12,1,0
placida,451,1,7,16,1,0
pristine,452,1,8,16,5,0
rotonda,453,7,7,18,1,0
april,454,2,5,1,12,0
wear,455,7,4,23,18,0
shops,456,2,5,19,19,0
bonita,457,4,6,2,1,0
free,458,3,4,6,5,0
getaway,459,2,7,7,25,0
hottest,460,1,7,8,20,0
sales,461,2,5,19,19,0
tanning,462,5,7,20,7,0
lebanon,463,2,7,12,14,0
remote,464,1,6,18,5,0
sticker,465,1,7,19,18,0
divers,466,1,6,4,19,0
hallandale,467,1,10,8,5,0
treasures,468,1,9,20,19,0
wheelchairs,469,1,11,23,19,0
viera,470,1,5,22,1,0
quotes,471,1,6,17,19,0
clean,472,4,5,3,14,0
up,473,2,2,21,16,0
passes,474,1,6,16,19,0
trolley,475,1,7,20,25,0
skirts,476,1,6,19,19,0
complete,477,3,8,3,5,0
charming,478,6,8,3,7,0
bal,479,1,3,2,12,0
harbour,480,1,7,8,18,0
indian,481,4,6,9,14,0
rock,482,3,4,18,11,0
waterpark,483,1,9,23,11,0
beachcombers,484,1,12,2,19,0
communities,485,2,11,3,19,0
desoto,486,1,6,4,15,0
hobe,487,1,4,8,5,0
sound,488,1,5,19,4,0
online,489,1,6,15,5,0
travel,490,4,6,20,12,0
area,491,1,4,1,1,0
tripadvisor,492,6,11,20,18,0
ecosystem,493,1,9,5,13,0
wall,494,2,4,23,12,0
murals,495,1,6,13,19,0
january,496,2,7,10,25,0
spots,497,5,5,19,19,0
renourishment,498,1,13,18,20,0
villas,499,2,6,22,19,0
villa,500,1,5,22,1,0
events,501,1,6,5,19,0
camp,502,1,4,3,16,0
tiny,503,5,4,20,25,0
wildflowers,504,1,11,23,19,0
metal,505,1,5,13,12,0
detecting,506,1,9,4,7,0
accommodations,507,1,14,1,19,0
kissimmee,508,1,9,11,5,0
marriotts,509,2,9,13,19,0
fernandina,510,1,10,6,1,0
bayonet,511,5,7,2,20,0
inn,512,1,3,9,14,0
cabins,513,3,6,3,19,0
plants,514,2,6,16,19,0
furniture,515,2,9,6,5,0
pretty,516,1,6,16,25,0
patrol,517,2,6,16,12,0
jobs,518,1,4,10,19,0
snorkeling,519,1,10,19,7,0
biscayne,520,1,8,2,5,0
flagler,521,1,7,6,18,0
ga,522,1,2,7,1,0
drinking,523,1,8,4,7,0
dogs,524,2,4,4,19,0
bird,525,1,4,2,4,0
atv,526,1,3,1,22,0
butts,527,1,5,2,19,0
suwannee,528,1,8,19,5,0
bargains,529,2,8,2,19,0
captiva,530,1,7,3,1,0
restoration,531,1,11,18,14,0
desktop,532,1,7,4,16,0
buy,533,1,3,2,25,0
thong,534,2,5,20,7,0
vero,535,1,4,22,15,0
horse,536,1,5,8,5,0
riding,537,1,6,18,7,0
estero,538,1,6,5,15,0
tourism,539,2,7,20,13,0
nokomis,540,1,7,14,19,0
courtyard,541,1,9,3,4,0
tattoos,542,1,7,20,19,0
bikinis,543,1,7,2,19,0
trees,544,1,5,20,19,0
population,545,1,10,16,14,0
lego,546,1,4,12,15,0
optional,547,1,8,15,12,0
stays,548,1,5,19,19,0
blue,549,1,4,2,5,0
public,550,2,6,16,3,0
festivals,551,1,9,6,19,0
seashells,552,1,9,19,19,0
lodging,553,1,7,12,7,0
landscaping,554,1,11,12,7,0
surfside,555,2,8,19,5,0
crystal,556,1,7,3,12,0
two,557,1,3,20,15,0
christmas,558,1,9,3,19,0
safety,559,1,6,19,25,0
shores,560,1,6,19,19,0
fleas,561,1,5,6,19,0
packing,562,1,7,16,7,0
hammock,563,1,7,8,11,0
parking,564,1,7,16,7,0
natural,565,1,7,14,12,0
tips,566,1,4,20,19,0
clouds,567,1,6,3,19,0
diving,568,1,6,4,7,0
condition,569,1,9,3,14,0
rooms,570,1,5,18,19,0
gear,571,1,4,7,18,0
steinhatchee,572,1,12,19,5,0
choice,573,2,6,3,5,0
beachcombing,574,1,12,2,7,0
last,575,1,4,12,20,0
minute,576,1,6,13,5,0
ormond,577,1,6,15,4,0
t,578,1,1,20,20,0
listing,579,1,7,12,7,0
retirement,580,1,10,18,20,0
spas,581,1,4,19,19,0
soccer,582,1,6,19,18,0
zip,583,1,3,26,16,0
code,584,1,4,3,5,0
cleanup,585,1,7,3,16,0
beachcomber,586,1,11,2,18,0
b,587,2,1,2,2,0
plan,588,1,4,16,14,0
lots,589,1,4,12,19,0
attractions,590,1,11,1,19,0
elopement,591,1,9,5,20,0
pet,592,1,3,16,20,0
friendly,593,1,8,6,25,0
budget,594,1,6,2,20,0
gulfport,595,1,8,7,20,0
grille,596,1,6,7,5,0
wallpaper,597,1,9,23,18,0
campsites,598,1,9,3,19,0
riviera,599,1,7,18,1,0
views,600,1,5,22,19,0
davenport,601,1,9,4,20,0
condominiums,602,1,12,3,19,0
honeymoons,603,1,10,8,19,0
forecast,604,1,8,6,20,0
lighthouses,605,1,11,12,19,0
store,606,1,5,19,5,0
ponte,607,1,5,16,5,0
vedra,608,1,5,22,1,0
art,609,1,3,1,20,0
alligator,610,1,9,1,18,0
children,611,1,8,3,14,0
allowed,612,1,7,1,4,0
marathon,613,1,8,13,14,0
food,614,1,4,6,4,0
spot,615,1,4,19,20,0
